epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.033,1.0765,3.12632,1.4161,0.45889,0.27898,0.29145,0.20471,1.2003,3.3616,1.59352,0.000366967,0.000366967,0.000366967
2,414.197,1.17309,2.54826,1.47859,0.28708,0.54533,0.38317,0.24339,1.25995,3.37993,1.67699,0.000493991,0.000493991,0.000493991
3,627.128,1.119,2.24371,1.43697,0.54269,0.46024,0.50144,0.34208,1.13477,2.53625,1.50246,0.000376595,0.000376595,0.000376595
