epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.9427,1.34692,67.8667,0.83767,0,0,0,0,0,106.702,0,6e-05,6e-05,6e-05
2,43.1741,0.68433,98.3196,0.51182,0,0,0,0,0,106.88,0,0.00011228,0.00011228,0.00011228
